timestamp,voltage,current,temperature,iddq,prop_delay
55,5.0027,1.1863,125.23,10.18,4.645
56,5.0079,1.2031,125.35,7.87,4.497
57,4.9631,1.1877,124.99,9.45,4.37
58,5.003,1.2082,125.12,10.51,4.418
59,5.0161,1.1886,124.87,9.5,4.558
60,5.0164,1.1955,124.66,12.41,4.576
61,5.0145,1.1971,125.0,10.32,4.429
62,4.969,1.2134,124.51,9.19,4.426
63,4.9685,1.1999,124.58,8.57,4.452
64,4.9694,1.2111,124.56,9.9,4.621
65,5.0239,1.2173,125.11,9.01,4.426
66,4.9841,1.1822,125.26,10.57,4.364
67,4.982,1.2046,125.12,9.66,4.494
68,4.9648,1.2154,125.24,10.14,4.55
69,4.9733,1.2004,124.61,9.95,4.441
70,5.031,1.2167,125.23,9.22,4.544
71,5.0334,1.214,125.29,9.76,4.647
72,5.036,1.2136,124.85,10.84,4.394
73,5.0087,1.1883,124.53,10.62,4.551
74,4.965,1.2068,125.32,10.57,4.539
75,5.0378,1.1872,124.97,8.95,4.394
76,5.0238,1.1806,125.26,7.44,4.386
77,5.0102,1.1939,125.48,9.97,4.52
78,4.9705,1.2152,125.44,11.31,4.359
79,5.0182,1.1885,124.83,12.28,4.529
80,5.0094,1.1905,124.9,8.73,4.485
81,4.982,1.1942,125.41,10.24,4.639
82,5.0204,1.1922,124.56,9.6,4.616
83,5.0022,1.1929,125.41,10.47,4.64
84,5.014,1.2175,124.94,8.01,4.58
85,4.9968,1.199,124.55,8.73,4.523
86,4.974,1.2079,125.24,10.94,4.544
87,5.0104,1.1802,125.07,8.96,4.606
88,5.014,1.2151,124.98,10.69,4.44
89,4.991,1.2066,124.93,9.88,4.595
90,5.026,1.2119,124.85,9.89,4.571
91,5.0164,1.1831,125.23,8.71,4.421
92,5.0329,1.1873,125.2,10.44,4.627
93,5.0015,1.2069,124.92,11.1,4.424
94,5.0152,1.2038,125.41,8.75,4.626
95,5.0282,1.1959,124.74,10.83,4.375
96,5.0043,1.2179,125.38,10.03,4.601
97,5.0081,1.1986,124.86,10.96,4.444
98,4.9791,1.2099,124.76,11.71,4.555
99,5.0285,1.2101,125.35,8.07,4.416
100,4.9907,1.2017,124.8,10.71,4.397
101,5.019,1.2169,125.24,10.21,4.421
102,4.9743,1.2098,124.66,7.43,4.403
103,5.0189,1.2126,125.11,10.17,4.604
104,4.9633,1.1831,124.94,11.12,4.495
105,5.0179,1.1956,124.92,11.35,4.451
106,5.0183,1.2021,125.26,12.38,4.413
107,4.9841,1.1878,124.55,10.54,4.561
108,5.0125,1.1936,125.39,9.49,4.517
109,5.0332,1.1974,125.45,8.67,4.453
110,4.99,1.2108,124.7,11.6,4.4
111,5.0121,1.2144,124.91,9.21,4.437
112,4.9763,1.2111,125.29,10.3,4.37
113,4.9746,1.1824,125.33,9.98,4.376
114,5.0051,1.2076,125.05,8.0,4.433
115,5.0337,1.1916,125.3,11.09,4.496
116,4.9806,1.1957,124.87,11.09,4.54
117,4.9654,1.184,125.43,9.66,4.551
118,5.0372,1.2065,125.32,12.08,4.417
119,5.0248,1.1982,124.78,10.43,4.496
120,4.9974,1.1877,125.44,11.31,4.501
121,4.9754,1.198,125.08,11.52,4.594
122,5.0146,1.199,124.74,13.42,4.613
123,4.9785,1.213,125.11,10.5,4.451
124,5.0347,1.1999,124.96,11.31,4.608
125,4.9701,1.1829,125.4,10.05,4.622
126,4.9637,1.1939,125.14,10.21,4.384
127,5.0232,1.2104,124.87,7.39,4.396
128,4.9933,1.217,124.87,8.93,4.442
129,5.0363,1.2092,124.82,9.95,4.383
130,5.0224,1.2011,125.4,9.15,4.541
131,4.9759,1.2089,125.26,10.25,4.587
132,4.9942,1.1915,124.94,8.73,4.378
133,5.0345,1.1995,124.97,10.59,4.449
134,5.0372,1.2042,125.26,12.67,4.412
135,4.9668,1.2143,125.23,10.98,4.638
136,5.0018,1.2117,124.89,8.03,4.422
137,5.0085,1.2114,125.13,8.27,4.648
138,5.0359,1.2058,125.21,8.18,4.432
139,5.0178,1.1814,124.63,7.94,4.534
140,4.9777,1.211,124.59,8.59,4.455
141,4.9645,1.2166,124.97,9.8,4.378
142,5.0387,1.2035,125.27,10.36,4.508
143,4.964,1.2064,124.92,10.69,4.469
144,5.0063,1.2057,125.29,8.04,4.393
145,4.9878,1.2184,125.24,10.71,4.566
146,5.0145,1.1928,124.84,9.7,4.537
147,4.9756,1.18,124.55,10.62,4.415
148,4.9709,1.2135,125.23,10.13,4.396
149,4.9976,1.2189,124.82,9.85,4.442
150,5.0351,1.1917,125.48,12.38,4.373
151,4.9674,1.2079,125.48,10.49,4.534
152,5.0186,1.1848,124.67,11.3,4.569
153,5.029,1.2042,125.47,10.88,4.523
154,4.9782,1.2113,124.77,9.95,4.551
155,5.0079,1.2086,124.84,8.95,4.394
156,5.0351,1.195,125.0,10.76,4.628
157,5.0076,1.1875,125.08,9.47,4.351
158,4.9954,1.1904,124.67,10.28,4.515
159,4.9681,1.1803,124.9,11.2,4.429
160,5.0021,1.1976,125.22,10.48,4.405
161,4.9877,1.1908,125.01,11.58,4.573
162,4.9608,1.1918,125.14,13.18,4.548
163,4.9878,1.2016,124.99,8.62,4.621
164,5.0131,1.1915,125.44,10.76,4.6
165,5.0072,1.2065,125.49,8.44,4.418
166,4.9932,1.207,125.19,9.63,4.451
167,5.0317,1.2128,124.77,8.7,4.647
168,4.9949,1.195,125.37,9.91,4.491
169,5.0043,1.2167,124.68,11.01,4.507
170,4.9666,1.1909,125.28,10.94,4.505
171,4.9878,1.1827,124.63,10.89,4.616
172,4.9849,1.1827,124.88,8.9,4.593
173,5.04,1.1823,125.48,10.65,4.452
174,4.9949,1.2158,125.49,9.29,4.638
175,5.0361,1.2186,124.68,10.78,4.41
176,4.9666,1.1989,125.05,10.65,4.62
177,5.0276,1.2109,125.02,11.39,4.593
178,4.96,1.2007,124.68,11.16,4.549
179,4.9957,1.219,124.67,10.6,4.525
180,5.0146,1.1807,124.81,8.44,4.553
181,5.0329,1.2004,125.46,8.44,4.466
182,4.978,1.2168,124.97,10.57,4.53
183,4.9814,1.1983,124.7,8.72,4.549
184,4.9707,1.2011,124.75,11.22,4.427
185,5.0154,1.1839,124.56,13.48,4.591
186,5.0118,1.2009,125.44,8.13,4.493
187,4.9743,1.1892,125.31,8.67,4.519
188,5.0136,1.1919,124.67,11.1,4.607
189,5.035,1.2015,124.56,9.54,4.394
190,5.0232,1.2168,125.16,9.07,4.381
191,5.0133,1.2028,125.1,8.62,4.604
192,4.9708,1.2193,124.71,7.94,4.36
193,4.9818,1.2057,125.17,9.74,4.537
194,4.9924,1.1892,124.75,9.44,4.538
195,4.9707,1.183,125.49,10.15,4.606
196,5.0382,1.1825,125.22,9.18,4.46
197,5.0148,1.2065,125.32,10.4,4.492
198,5.0202,1.2139,125.22,10.14,4.417
199,5.0269,1.1904,125.36,8.92,4.442
200,5.0338,1.209,124.97,9.86,4.475
201,5.0025,1.2044,125.44,8.51,4.622
202,5.029,1.2113,124.93,10.72,4.638
203,4.9655,1.202,125.0,10.96,4.398
204,5.016,1.2133,125.26,8.94,4.599
205,5.0311,1.2053,125.32,10.84,4.61
206,4.9879,1.1929,125.02,12.48,4.545
207,5.0062,1.2102,125.31,9.4,4.56
208,4.9881,1.1923,124.89,10.23,4.38
209,4.9705,1.2069,124.84,12.52,4.551
210,5.0028,1.2081,125.02,8.17,4.576
211,5.0141,1.214,124.54,8.67,4.519
212,5.0102,1.2191,125.21,10.03,4.359
213,4.9937,1.2198,124.9,12.16,4.436
214,5.007,1.2014,125.2,8.88,4.434
215,5.0097,1.1818,125.31,9.62,4.564
216,4.9699,1.2154,124.6,11.01,4.483
217,5.0375,1.2052,124.93,9.07,4.394
218,4.984,1.2165,125.34,9.92,4.357
219,4.9719,1.209,124.77,7.25,4.586
220,4.9784,1.2086,124.81,7.9,4.407
221,4.9658,1.2167,124.58,12.16,4.41
222,5.0082,1.2069,124.75,11.35,4.63
223,5.0319,1.1952,124.56,9.0,4.571
224,5.04,1.1911,125.42,8.34,4.508
225,5.0233,1.182,125.12,11.52,4.404
226,5.0108,1.1927,124.95,10.71,4.445
227,4.9765,1.1931,124.52,9.84,4.65
228,4.9875,1.2037,124.82,10.22,4.622
229,5.0003,1.1916,124.68,11.88,4.453
230,5.0385,1.2169,125.16,9.95,4.462
231,5.0124,1.2068,124.84,9.78,4.534
232,4.9844,1.2128,124.63,10.06,4.579
233,4.9688,1.2077,125.34,11.36,4.381
234,5.0006,1.191,124.86,9.45,4.616
235,5.0087,1.2017,124.88,9.43,4.552
236,5.0269,1.1863,125.38,9.74,4.65
237,4.983,1.2141,124.88,10.91,4.604
238,4.9934,1.2046,125.12,10.31,4.577
239,5.0019,1.1984,124.81,9.75,4.469
240,5.0226,1.2173,125.08,10.16,4.536
241,4.9908,1.2017,125.05,9.58,4.556
242,5.0393,1.2026,124.52,10.56,4.43
243,5.0194,1.2028,124.83,8.48,4.458
244,4.9868,1.1993,124.7,11.3,4.465
245,4.9907,1.1887,125.43,8.54,4.45
246,5.0195,1.1859,124.97,11.51,4.548
247,5.0287,1.1853,124.69,11.57,4.507
248,4.9963,1.1855,124.79,10.5,4.517
249,4.9907,1.1936,125.26,10.03,4.431
250,4.9773,1.1966,124.8,9.55,4.397
251,5.033,1.2112,124.95,8.99,4.421
252,4.983,1.2164,124.78,8.69,4.523
253,4.9891,1.2186,124.56,9.17,4.505
254,5.0212,1.199,124.7,10.08,4.486
255,5.007,1.2024,125.5,11.78,4.468
256,5.0373,1.209,125.13,9.25,4.358
257,4.9971,1.1992,124.77,7.84,4.475
258,4.9675,1.2152,125.44,7.68,4.508
259,4.9949,1.2086,124.62,11.63,4.449
260,4.9921,1.2149,125.41,10.41,4.451
261,5.0397,1.1932,125.17,10.24,4.63
262,4.97,1.1975,125.48,10.54,4.438
263,5.0131,1.1975,124.51,8.76,4.444
264,4.9917,1.2126,125.11,8.22,4.634
265,4.9974,1.201,124.52,10.4,4.405
266,4.9616,1.1874,125.03,10.26,4.518
267,5.0178,1.2007,125.13,9.91,4.425
268,4.9988,1.201,125.23,11.01,4.421
269,5.0107,1.1899,125.14,9.31,4.48
270,5.0392,1.2081,124.72,11.67,4.611
271,4.9771,1.2036,124.66,9.12,4.644
272,5.0249,1.2199,124.55,11.55,4.554
273,4.9639,1.2141,125.1,9.95,4.474
274,5.016,1.2132,125.43,8.54,4.54
275,4.9845,1.2088,124.76,7.93,4.542
276,4.9721,1.1951,124.78,8.42,4.51
277,5.0307,1.1866,125.17,10.2,4.566
278,4.9626,1.2111,124.92,11.03,4.641
279,4.9686,1.2186,124.97,7.98,4.515
280,5.0291,1.2035,124.89,10.52,4.413
281,4.9885,1.1882,124.92,10.52,4.495
282,4.9929,1.1875,124.64,9.45,4.462
283,5.006,1.2149,124.52,9.9,4.496
284,4.9832,1.185,125.32,8.58,4.622
285,4.9975,1.1833,125.36,9.54,4.583
286,5.0322,1.1836,124.88,10.38,4.365
287,4.9849,1.2003,125.27,11.92,4.449
288,4.9755,1.1819,125.07,10.56,4.504
289,4.9659,1.1939,124.72,8.36,4.545
290,5.0152,1.206,125.21,10.7,4.506
291,4.9837,1.2042,125.05,9.44,4.526
292,4.9882,1.2173,124.64,9.66,4.524
293,4.9884,1.1809,124.72,7.78,4.404
294,4.9839,1.211,125.44,11.41,4.459
295,5.0254,1.2015,125.5,11.47,4.504
296,4.9834,1.2092,125.17,8.86,4.647
297,5.0098,1.2055,124.74,12.04,4.502
298,5.0193,1.1831,124.54,8.83,4.561
299,5.0097,1.2049,125.09,11.21,4.58
300,4.9903,1.1998,124.67,8.57,4.497
301,4.9795,1.1864,124.66,10.47,4.508
302,4.9725,1.2182,124.51,11.92,4.476
303,4.972,1.2106,125.48,9.94,4.404
304,5.0186,1.2019,125.06,8.97,4.365
305,4.9975,1.2181,125.48,8.2,4.631
306,5.0278,1.2072,124.74,8.42,4.443
307,4.987,1.197,125.42,9.4,4.614
308,4.9852,1.1874,125.21,9.54,4.576
309,5.0393,1.2074,124.83,10.46,4.404
310,4.9917,1.2104,124.69,9.55,4.562
311,5.0022,1.2123,124.99,9.07,4.359
312,4.9639,1.2059,125.4,10.94,4.484
313,4.9926,1.1991,124.68,9.76,4.554
314,4.9808,1.2066,124.56,7.8,4.65
315,5.0261,1.1858,125.47,10.26,4.424
316,4.9899,1.197,124.89,10.84,4.396
317,4.9729,1.1921,124.66,9.3,4.62
318,4.9661,1.1856,125.21,12.3,4.546
319,5.0141,1.1866,124.9,9.71,4.406
320,4.9835,1.2033,125.4,9.65,4.614
321,5.0074,1.191,125.32,8.94,4.488
322,5.0122,1.2003,125.15,10.69,4.561
323,4.9715,1.1806,125.38,11.01,4.509
324,5.0211,1.2076,125.5,8.97,4.374
325,4.9714,1.1854,124.74,9.08,4.551
326,4.9955,1.1874,125.1,8.04,4.46
327,4.9825,1.2111,124.94,8.55,4.648
328,4.9816,1.1913,125.37,9.87,4.487
329,4.996,1.1862,125.25,12.35,4.385
330,4.989,1.1828,125.32,10.56,4.585
331,5.033,1.1852,125.28,10.2,4.585
332,4.9907,1.2184,124.63,10.87,4.512
333,5.0025,1.1889,125.05,10.27,4.523
334,5.0279,1.2184,124.96,7.93,4.554
335,5.0079,1.1959,125.1,9.53,4.363
336,4.9941,1.1994,124.74,10.86,4.441
337,4.9756,1.2083,125.33,10.13,4.594
338,4.9679,1.1923,124.75,9.56,4.508
339,5.0204,1.2137,124.74,12.67,4.474
340,5.0126,1.1841,124.77,9.66,4.581
341,4.97,1.214,125.23,12.06,4.612
342,4.9688,1.1962,125.17,10.1,4.48
343,4.9726,1.2,125.4,8.31,4.352
344,5.021,1.2063,124.62,9.83,4.566
345,4.9852,1.2057,125.23,9.19,4.41
346,4.9992,1.1937,124.6,9.01,4.384
347,4.9925,1.1986,125.48,9.57,4.419
348,4.9649,1.208,125.48,9.55,4.622
349,5.0041,1.1902,125.41,9.99,4.407
350,5.018,1.2024,125.01,10.66,4.529
351,4.998,1.2101,124.53,9.58,4.493
352,4.9865,1.1995,125.21,9.66,4.42
353,5.008,1.2112,124.88,10.06,4.517
354,4.9985,1.2005,125.07,9.59,4.483
355,5.0389,1.2119,125.22,10.8,4.647
356,4.9894,1.194,124.92,10.47,4.452
357,4.9624,1.2133,124.77,8.15,4.373
358,4.9905,1.1951,125.26,11.2,4.436
359,4.9791,1.203,124.95,11.77,4.607
360,5.0112,1.2033,125.34,9.64,4.637
361,4.971,1.1934,125.25,11.43,4.387
362,5.0342,1.2054,124.94,10.38,4.592
363,4.9696,1.2144,125.08,12.07,4.513
364,4.9667,1.1934,125.48,10.28,4.566
365,4.9751,1.1906,125.41,10.82,4.492
366,5.0002,1.2149,125.16,9.64,4.389
367,4.9896,1.2113,125.0,9.76,4.554
368,4.9943,1.2184,124.89,7.25,4.623
369,4.9728,1.2167,124.95,11.42,4.393
370,5.0196,1.1986,124.54,8.13,4.632
371,5.0257,1.185,125.5,11.03,4.615
372,4.964,1.194,124.7,11.38,4.639
373,4.9704,1.1963,125.47,9.67,4.535
374,5.0397,1.1817,125.13,10.22,4.396
375,4.964,1.2044,125.45,8.94,4.537
376,5.0258,1.2144,125.36,11.22,4.522
377,5.0214,1.219,125.36,10.93,4.571
378,4.977,1.2104,125.15,11.16,4.554
379,5.0378,1.1959,125.41,9.46,4.462
380,4.993,1.2095,125.26,11.97,4.553
381,5.0144,1.2129,125.02,9.46,4.587
382,4.9829,1.1835,124.86,8.57,4.399
383,4.9723,1.214,124.78,11.29,4.553
384,4.9853,1.1874,124.63,9.16,4.531
385,4.9673,1.1909,124.58,8.91,4.379
386,4.9755,1.1876,125.43,11.04,4.433
387,5.0013,1.1866,125.12,9.85,4.518
388,5.0291,1.1917,124.91,10.07,4.387
389,4.9759,1.1958,124.57,10.85,4.473
390,5.0206,1.1821,125.11,12.68,4.642
391,4.9685,1.1986,124.53,9.2,4.567
392,5.0113,1.1823,125.18,10.08,4.542
393,5.0161,1.1903,124.61,12.23,4.536
394,4.9814,1.2097,124.96,9.76,4.405
395,4.9834,1.2045,125.36,9.98,4.405
396,5.0061,1.2131,125.43,10.09,4.524
397,5.0261,1.2109,125.08,7.98,4.423
398,4.9801,1.1845,125.38,10.83,4.619
399,4.9771,1.1998,125.28,8.3,4.538
400,4.9806,1.1854,124.74,10.5,4.367
401,4.9909,1.2136,124.85,10.4,4.506
402,4.995,1.2085,125.45,10.52,4.471
403,5.0277,1.1926,124.97,9.98,4.542
404,4.9698,1.2172,125.31,10.41,4.416
405,4.9812,1.2026,124.89,7.56,4.59
406,4.9709,1.1879,125.0,12.39,4.418
407,4.9696,1.1975,124.71,9.42,4.627
408,5.0084,1.1923,124.92,10.97,4.551
409,5.024,1.219,124.96,10.45,4.478
410,5.0287,1.2029,125.0,9.23,4.408
411,5.0295,1.1907,125.27,7.55,4.47
412,4.9727,1.1867,125.05,10.63,4.389
413,4.9722,1.187,125.12,7.45,4.519
414,5.0229,1.1831,125.13,11.26,4.351
415,4.9725,1.2121,124.55,9.67,4.498
416,5.0051,1.2132,124.97,8.25,4.407
417,4.9883,1.2021,124.5,10.95,4.42
418,5.021,1.2039,125.38,7.63,4.462
419,4.9842,1.1844,124.93,10.15,4.525
420,4.9604,1.2022,125.42,9.62,4.374
421,5.0,1.1964,125.18,11.02,4.578
422,4.9973,1.1947,124.77,9.82,4.582
423,4.969,1.1951,125.07,9.61,4.506
424,4.9708,1.1863,124.68,10.36,4.509
425,4.9812,1.197,124.6,9.93,4.55
426,4.973,1.1832,124.54,10.35,4.509
427,4.9678,1.2056,125.13,8.24,4.42
428,5.0395,1.2129,124.83,11.29,4.518
429,4.9993,1.2155,125.38,10.95,4.508
430,5.0159,1.2194,125.01,10.15,4.61
431,4.9854,1.1901,125.36,8.82,4.457
432,5.0333,1.2194,124.72,12.84,4.6
433,5.0007,1.2198,125.09,9.26,4.41
434,4.9811,1.2032,125.41,11.91,4.583
435,5.0288,1.1897,125.11,10.07,4.362
436,4.9603,1.1813,124.69,12.12,4.629
437,4.9718,1.2112,124.62,11.26,4.586
438,5.0371,1.1897,125.03,9.89,4.649
439,4.9949,1.1901,124.91,8.93,4.632
440,4.989,1.2184,124.77,11.59,4.451
441,4.9835,1.2071,124.79,11.49,4.577
442,4.9908,1.1858,124.8,11.41,4.57
443,5.0165,1.2185,125.42,11.93,4.512
444,4.9707,1.1899,124.99,6.82,4.625
445,5.036,1.2038,125.07,12.48,4.517
446,5.0267,1.1918,125.03,9.01,4.561
447,5.0043,1.2156,124.94,12.08,4.518
448,5.032,1.2071,124.51,9.78,4.521
449,4.9805,1.2019,124.76,9.18,4.58
450,4.9651,1.1843,125.19,8.72,4.467
451,4.9872,1.1848,124.57,9.24,4.6
452,5.0301,1.1924,124.96,9.92,4.517
453,4.989,1.2195,124.55,9.69,4.49
454,5.0202,1.2198,125.2,9.89,4.445
455,4.9986,1.2149,124.76,9.87,4.426
456,4.963,1.1813,125.41,9.54,4.463
457,4.988,1.2158,124.99,10.13,4.589
458,5.0,1.2192,124.65,9.8,4.504
459,5.023,1.1936,124.92,11.4,4.465
460,5.04,1.1854,125.3,9.76,4.437
461,4.9746,1.2159,124.67,9.7,4.618
462,4.971,1.1812,124.55,10.49,4.488
463,5.035,1.1806,124.74,9.82,4.474
464,4.9915,1.2028,124.7,6.8,4.385
465,5.0033,1.1808,125.23,8.36,4.56
466,4.9812,1.2176,125.11,8.72,4.453
467,4.9661,1.1907,124.92,10.45,4.503
468,5.0176,1.2023,125.2,11.8,4.616
469,4.9672,1.1946,125.4,11.24,4.37
470,4.9658,1.2019,124.93,11.78,4.537
471,4.964,1.2191,124.8,11.93,4.52
472,4.9682,1.182,125.3,10.04,4.409
473,4.9728,1.2154,125.1,9.37,4.526
474,5.0313,1.188,125.24,7.62,4.38
475,4.9683,1.1848,125.21,12.23,4.393
476,5.0373,1.2106,124.88,8.87,4.631
477,5.0028,1.1806,124.8,9.55,4.383
478,5.034,1.1858,124.76,12.54,4.365
479,5.0024,1.205,125.45,8.72,4.427
480,5.0331,1.1853,124.96,10.89,4.514
481,4.9852,1.2106,124.76,10.74,4.502
482,5.0186,1.2063,125.45,10.94,4.606
483,4.9709,1.1847,124.65,8.79,4.433
484,5.0135,1.2,125.07,12.43,4.521
485,4.9825,1.2124,125.28,10.93,4.578
486,5.0236,1.202,125.04,10.97,4.399
487,4.9978,1.1918,125.06,10.23,4.566
488,5.0072,1.1941,124.66,10.91,4.471
489,5.0129,1.1934,125.35,10.36,4.382
490,5.0018,1.2195,125.16,11.84,4.636
491,4.9951,1.1871,125.25,8.07,4.35
492,4.972,1.1862,125.33,12.2,4.375
493,5.0337,1.1851,124.97,11.15,4.444
494,4.9889,1.1916,124.81,8.36,4.48
495,4.9966,1.213,124.7,8.4,4.604
496,4.9771,1.2079,124.52,9.46,4.428
497,4.9624,1.2036,125.33,8.8,4.628
498,5.025,1.1852,124.59,13.34,4.636
499,4.9825,1.1961,124.59,9.08,4.573
500,5.0265,1.1872,124.5,8.17,4.508
501,4.9738,1.1811,125.4,10.4,4.552
502,4.9628,1.2173,125.45,10.71,4.648
503,4.9971,1.1814,124.95,10.62,4.545
504,4.9671,1.1911,125.07,10.27,4.597
505,5.0198,1.1913,124.97,8.62,4.514
506,5.0108,1.1916,124.56,9.05,4.561
507,4.9832,1.2136,124.65,9.22,4.451
508,4.9647,1.2133,125.15,9.08,4.629
509,5.0323,1.181,124.96,10.2,4.464
510,5.0298,1.2123,125.46,9.6,4.615
511,4.9736,1.1997,124.68,9.08,4.498
512,4.9941,1.2076,124.94,10.81,4.401
513,5.002,1.1814,124.53,13.48,4.506
514,5.0365,1.2157,125.27,9.23,4.467
515,5.0267,1.197,124.89,10.49,4.633
516,5.0338,1.1904,125.31,11.14,4.375
517,5.0387,1.2018,124.56,9.72,4.393
518,4.9999,1.2,124.94,10.57,4.449
519,4.9795,1.1844,124.7,10.97,4.603
520,5.0166,1.2082,125.15,8.09,4.37
521,5.0322,1.1805,124.84,10.18,4.603
522,5.0283,1.194,125.19,10.01,4.395
523,4.9824,1.2092,124.75,11.22,4.387
524,4.9619,1.1905,125.44,10.78,4.568
525,5.0178,1.1864,124.94,10.65,4.541
526,4.9978,1.2029,124.63,10.38,4.517
527,4.9923,1.2038,125.26,9.57,4.451
528,4.9873,1.2132,124.67,8.65,4.641
529,5.0317,1.2098,124.72,11.56,4.375
530,5.0143,1.1832,124.71,11.43,4.559
531,4.9636,1.1946,124.81,9.94,4.413
532,5.0231,1.1822,125.34,8.16,4.523
533,5.0256,1.2165,125.26,8.72,4.64
534,4.9826,1.2194,124.85,10.95,4.461
535,4.9772,1.2162,125.41,10.82,4.386
536,4.9614,1.1807,124.9,10.54,4.643
537,4.9931,1.1917,125.04,9.41,4.572
538,5.0381,1.1882,125.44,10.21,4.398
539,5.0399,1.2008,124.51,9.25,4.456
540,4.9789,1.1944,124.76,8.86,4.433
541,4.9701,1.2041,125.22,10.83,4.484
542,5.0005,1.1896,124.69,8.06,4.62
543,5.0295,1.1882,124.81,9.67,4.457
544,4.9885,1.217,125.25,11.34,4.465
545,4.9947,1.2185,124.68,9.91,4.521
546,4.98,1.1895,125.35,9.48,4.612
547,5.0,1.1871,124.69,9.2,4.477
548,5.0215,1.1822,125.25,10.94,4.45
549,5.0363,1.1843,125.19,9.65,4.417
550,5.0073,1.2173,124.73,12.0,4.505
551,5.0329,1.2041,125.4,10.57,4.626
552,5.0264,1.1822,125.12,9.78,4.553
553,5.0014,1.183,125.02,11.56,4.596
554,5.0323,1.1928,125.07,9.4,4.549
555,4.9661,1.2138,125.02,8.48,4.495
556,5.0368,1.1812,124.67,7.85,4.391
557,4.9688,1.219,125.16,8.57,4.499
558,5.0238,1.1972,124.94,11.0,4.372
559,4.9777,1.1842,124.74,8.01,4.61
560,4.9624,1.1909,124.5,10.44,4.39
561,4.9778,1.2093,124.61,7.98,4.44
562,4.9702,1.2197,125.09,8.85,4.383
563,4.9723,1.2156,125.4,10.7,4.392
564,4.9928,1.2019,125.46,9.39,4.395
565,4.99,1.183,125.16,9.69,4.563
566,4.9719,1.2047,125.37,11.69,4.472
567,5.0185,1.1854,125.03,10.13,4.354
568,4.9776,1.2027,125.1,10.71,4.469
569,4.9769,1.2008,125.46,10.55,4.579
570,5.0111,1.1808,124.75,11.14,4.431
571,5.0352,1.187,124.62,12.41,4.486
572,4.9986,1.1932,125.31,10.54,4.534
573,4.9618,1.1861,125.21,9.63,4.541
574,4.9735,1.1843,125.34,7.8,4.612
575,5.0346,1.2079,124.91,8.17,4.423
576,5.0343,1.19,124.62,8.77,4.508
577,5.0049,1.2088,124.69,8.86,4.557
578,4.9836,1.1975,125.05,9.64,4.363
579,5.0173,1.1838,124.64,9.24,4.566
580,4.9873,1.2121,125.29,10.4,4.364
581,5.011,1.2067,125.1,9.64,4.379
582,5.0148,1.2007,125.08,8.34,4.527
583,5.0136,1.1801,125.18,8.28,4.359
584,5.0104,1.1874,124.56,9.62,4.409
585,5.0123,1.1966,124.65,9.83,4.467
586,5.0028,1.1969,124.52,7.7,4.393
